action,post_id,slug,title,field,meta_key,before_snippet,after_snippet,expected_origin,reason
updated,60795,dabo-pink-collagen-pdrn-cream-serum-toner-combo,"Dabo Pink Collagen PDRN Cream, Serum & Toner – Combo",post_content,,"One of our customers first told us about the Dabo Pink Collagen PDRN Cream, Serum &amp; Toner Combo. Living in Dhaka, where humidity, pollution, and heat can take a toll on our ...","One of our customers first told us about the Dabo Pink Collagen PDRN Cream, Serum &amp; Toner Combo. Living in Dhaka, where humidity, pollution, and heat can take a toll on our ...",,"bad copy in post_content"
updated,60795,dabo-pink-collagen-pdrn-cream-serum-toner-combo,"Dabo Pink Collagen PDRN Cream, Serum & Toner – Combo",post_excerpt,,"Buy Dabo Pink Collagen PDRN Cream, Serum &amp; Toner – Combo in Bangladesh. 100% authentic Korea import. Dhaka 1-2 days delivery. COD available at Emart Skincare Bangladesh.","Buy Dabo Pink Collagen PDRN Cream, Serum &amp; Toner – Combo in Bangladesh. 100% authentic Korean product. Dhaka 1-2 days delivery. COD available at Emart Skincare Bangladesh.",,"bad copy in post_excerpt"
updated,60797,dabo-30-days-greentea-avocado-nourishing-toner-150ml-cream-combo,"Dabo 30 Days Greentea Avocado Nourishing Toner 150ml & Cream – Combo",post_content,,"The Emart team has personally tested this product to ensure its quality and effectiveness. Introducing the Dabo 30 Days Greentea Avocado Nourishing Toner &amp; Cream – Combo, ...","The Emart team has personally tested this product to ensure its quality and effectiveness. Introducing the Dabo 30 Days Greentea Avocado Nourishing Toner &amp; Cream – Combo, ...",,"bad copy in post_content"
updated,60797,dabo-30-days-greentea-avocado-nourishing-toner-150ml-cream-combo,"Dabo 30 Days Greentea Avocado Nourishing Toner 150ml & Cream – Combo",post_excerpt,,"Buy Dabo 30 Days Greentea Avocado Nourishing Toner 150ml &amp; Cream – Combo in Bangladesh. 100% authentic Korea import. Dhaka 1-2 days delivery. COD available at Emart Skinca...","Buy Dabo 30 Days Greentea Avocado Nourishing Toner 150ml &amp; Cream – Combo in Bangladesh. 100% authentic Korean product. Dhaka 1-2 days delivery. COD available at Emart Skin...",,"bad copy in post_excerpt"
updated,60799,dabo-30-days-glutathione-snow-white-melanope-toner-150ml-cream-combo,"Dabo 30 Days Glutathione Snow White Melanope Toner 150ml & Cream – Combo",post_content,,"Dhaka’s hot and humid weather makes skincare a challenging task. From pollution to sweat, our skin faces daily battles. That’s why finding the right products is essential. I...","Dhaka’s hot and humid weather makes skincare a challenging task. From pollution to sweat, our skin faces daily battles. That’s why finding the right products is essential. I...",,"bad copy in post_content"
updated,60799,dabo-30-days-glutathione-snow-white-melanope-toner-150ml-cream-combo,"Dabo 30 Days Glutathione Snow White Melanope Toner 150ml & Cream – Combo",post_excerpt,,"Buy Dabo 30 Days Glutathione Snow White Melanope Toner 150ml &amp; Cream – Combo in Bangladesh. 100% authentic Korea import. Dhaka 1-2 days delivery. COD available at Emart Sk...","Buy Dabo 30 Days Glutathione Snow White Melanope Toner 150ml &amp; Cream – Combo in Bangladesh. 100% authentic Korean product. Dhaka 1-2 days delivery. COD available at Emart ...",,"bad copy in post_excerpt"
updated,60803,glass-skin-magical-combo-cosrx-snail-96-essence-92-cream-100ml-axis-y-glow-serum-50ml,"Glass Skin Magical Combo: Cosrx Snail 96 Essence & 92 Cream 100ml, Axis-Y Glow Serum 50ml",post_excerpt,,"Buy Glass Skin Magical Combo: Cosrx Snail 96 Essence &amp; 92 Cream 100ml, Axis-Y Glow Serum 50ml in Bangladesh. 100% authentic Korea import. Dhaka 1-2 days delivery. COD availa...","Buy Glass Skin Magical Combo: Cosrx Snail 96 Essence &amp; 92 Cream 100ml, Axis-Y Glow Serum 50ml in Bangladesh. 100% authentic Korean product. Dhaka 1-2 days delivery. COD avai...",,"bad copy in post_excerpt"
updated,60805,acne-combo-cosrx-salicylic-acid-cleanser-50ml-axis-y-dark-spot-serum-5ml,"Acne Combo: Cosrx Salicylic Acid Cleanser 50ml + AXIS-Y Dark Spot Serum 5ml",post_excerpt,,"Buy Acne Combo: Cosrx Salicylic Acid Cleanser 50ml + AXIS-Y Dark Spot Serum 5ml in Bangladesh. 100% authentic Korea import. Dhaka 1-2 days delivery. COD available at Emart Skinc...","Buy Acne Combo: Cosrx Salicylic Acid Cleanser 50ml + AXIS-Y Dark Spot Serum 5ml in Bangladesh. 100% authentic Korean product. Dhaka 1-2 days delivery. COD available at Emart Ski...",,"bad copy in post_excerpt"
updated,60807,acne-combo-cosrx-low-ph-cleanser-50ml-axis-y-dark-spot-serum-5ml,"Acne Combo: Cosrx Low pH Cleanser 50ml + AXIS-Y Dark Spot Serum 5ml",post_content,,"The Emart team has personally tested this product, ensuring its quality and effectiveness for Bangladeshi skin types. Acne Combo: Cosrx Low pH Cleanser 50ml + AXIS-Y Dark Spot S...","The Emart team has personally tested this product, ensuring its quality and effectiveness for Bangladeshi skin types. Acne Combo: Cosrx Low pH Cleanser 50ml + AXIS-Y Dark Spot S...",,"bad copy in post_content"
updated,60807,acne-combo-cosrx-low-ph-cleanser-50ml-axis-y-dark-spot-serum-5ml,"Acne Combo: Cosrx Low pH Cleanser 50ml + AXIS-Y Dark Spot Serum 5ml",post_excerpt,,"Buy Acne Combo: Cosrx Low pH Cleanser 50ml + AXIS-Y Dark Spot Serum 5ml in Bangladesh. 100% authentic Korea import. Dhaka 1-2 days delivery. COD available at Emart Skincare Bang...","Buy Acne Combo: Cosrx Low pH Cleanser 50ml + AXIS-Y Dark Spot Serum 5ml in Bangladesh. 100% authentic Korean product. Dhaka 1-2 days delivery. COD available at Emart Skincare Ba...",,"bad copy in post_excerpt"
updated,60809,glass-skin-combo-cosrx-snail-96-essence-30-ml-axis-y-dark-spot-serum-5-ml,"Glass Skin Combo: Cosrx Snail 96 Essence 30 ml + Axis-Y Dark Spot Serum 5 ml",post_content,,"Dhaka's hot and humid weather makes skincare a challenge. The Glass Skin Combo: Cosrx Snail 96 Essence 30 ml + Axis-Y Dark Spot Serum 5 ml is here to help. This Korean skincare ...","Dhaka's hot and humid weather makes skincare a challenge. The Glass Skin Combo: Cosrx Snail 96 Essence 30 ml + Axis-Y Dark Spot Serum 5 ml is here to help. This Korean skincare ...",,"bad copy in post_content"
updated,60809,glass-skin-combo-cosrx-snail-96-essence-30-ml-axis-y-dark-spot-serum-5-ml,"Glass Skin Combo: Cosrx Snail 96 Essence 30 ml + Axis-Y Dark Spot Serum 5 ml",post_excerpt,,"Buy Glass Skin Combo: Cosrx Snail 96 Essence 30 ml + Axis-Y Dark Spot Serum 5 ml in Bangladesh. 100% authentic Korea import. Dhaka 1-2 days delivery. COD available at Emart Skin...","Buy Glass Skin Combo: Cosrx Snail 96 Essence 30 ml + Axis-Y Dark Spot Serum 5 ml in Bangladesh. 100% authentic Korean product. Dhaka 1-2 days delivery. COD available at Emart Sk...",,"bad copy in post_excerpt"
updated,60813,best-glowing-skin-combo,"Best Glowing Skin Combo",post_content,,"One of our customers first told us about this product. Since then, the Best Glowing Skin Combo has become a favorite among skincare enthusiasts in Dhaka. Living in a city with h...","One of our customers first told us about this product. Since then, the Best Glowing Skin Combo has become a favorite among skincare enthusiasts in Dhaka. Living in a city with h...",,"bad copy in post_content"
updated,60813,best-glowing-skin-combo,"Best Glowing Skin Combo",post_excerpt,,"Buy Best Glowing Skin Combo in Bangladesh. 100% authentic Korea import. Dhaka 1-2 days delivery. COD available at Emart Skincare Bangladesh.","Buy Best Glowing Skin Combo in Bangladesh. 100% authentic Korean product. Dhaka 1-2 days delivery. COD available at Emart Skincare Bangladesh.",,"bad copy in post_excerpt"
updated,60815,dabo-winter-moisturizing-combo,"Dabo Winter Moisturizing Combo",post_content,,"Korean skincare has always been a favorite among beauty enthusiasts, and after testing numerous products, the Dabo Winter Moisturizing Combo has earned its spot in our catalog. ...","Korean skincare has always been a favorite among beauty enthusiasts, and after testing numerous products, the Dabo Winter Moisturizing Combo has earned its spot in our catalog. ...",,"bad copy in post_content"
updated,60815,dabo-winter-moisturizing-combo,"Dabo Winter Moisturizing Combo",post_excerpt,,"Buy Dabo Winter Moisturizing Combo in Bangladesh. 100% authentic Korea import. Dhaka 1-2 days delivery. COD available at Emart Skincare Bangladesh.","Buy Dabo Winter Moisturizing Combo in Bangladesh. 100% authentic Korean product. Dhaka 1-2 days delivery. COD available at Emart Skincare Bangladesh.",,"bad copy in post_excerpt"
updated,60819,dabo-4-step-glass-skin-combo,"Dabo 4-Step Glass Skin Combo",post_content,,"One of our customers first told us about this product. Intrigued by its popularity, we decided to bring the Dabo 4-Step Glass Skin Combo to Bangladesh, and it has quickly become...","One of our customers first told us about this product. Intrigued by its popularity, we decided to bring the Dabo 4-Step Glass Skin Combo to Bangladesh, and it has quickly become...",,"bad copy in post_content"
updated,60819,dabo-4-step-glass-skin-combo,"Dabo 4-Step Glass Skin Combo",post_excerpt,,"Buy Dabo 4-Step Glass Skin Combo in Bangladesh. 100% authentic Korea import. Dhaka 1-2 days delivery. COD available at Emart Skincare Bangladesh.","Buy Dabo 4-Step Glass Skin Combo in Bangladesh. 100% authentic Korean product. Dhaka 1-2 days delivery. COD available at Emart Skincare Bangladesh.",,"bad copy in post_excerpt"
updated,60823,korean-winter-brightening-combo,"Korean Winter Brightening Combo",post_excerpt,,"Buy Korean Winter Brightening Combo in Bangladesh. 100% authentic Korea import. Dhaka 1-2 days delivery. COD available at Emart Skincare Bangladesh.","Buy Korean Winter Brightening Combo in Bangladesh. 100% authentic Korean product. Dhaka 1-2 days delivery. COD available at Emart Skincare Bangladesh.",,"bad copy in post_excerpt"
updated,60825,korean-3-step-brightening-glow-combo,"Korean 3-Step Brightening Glow Combo",post_excerpt,,"Buy Korean 3-Step Brightening Glow Combo in Bangladesh. 100% authentic Korea import. Dhaka 1-2 days delivery. COD available at Emart Skincare Bangladesh.","Buy Korean 3-Step Brightening Glow Combo in Bangladesh. 100% authentic Korean product. Dhaka 1-2 days delivery. COD available at Emart Skincare Bangladesh.",,"bad copy in post_excerpt"
updated,60833,dabo-black-snail-repair-glow-combo,"DABO Black Snail Repair & Glow Combo",post_content,,"Some products are so good that once you try them, you never want to let them go. The DABO Black Snail Repair &amp; Glow Combo is one of those gems. Designed for those who crave ...","Some products are so good that once you try them, you never want to let them go. The DABO Black Snail Repair &amp; Glow Combo is one of those gems. Designed for those who crave ...",,"bad copy in post_content"
updated,60833,dabo-black-snail-repair-glow-combo,"DABO Black Snail Repair & Glow Combo",post_excerpt,,"Buy DABO Black Snail Repair &amp; Glow Combo in Bangladesh. 100% authentic Korea import. Dhaka 1-2 days delivery. COD available at Emart Skincare Bangladesh.","Buy DABO Black Snail Repair &amp; Glow Combo in Bangladesh. 100% authentic Korean product. Dhaka 1-2 days delivery. COD available at Emart Skincare Bangladesh.",,"bad copy in post_excerpt"
updated,60835,dabo-basic-skincare-combo,"DABO Basic Skincare Combo",post_excerpt,,"Buy DABO Basic Skincare Combo in Bangladesh. 100% authentic Korea import. Dhaka 1-2 days delivery. COD available at Emart Skincare Bangladesh.","Buy DABO Basic Skincare Combo in Bangladesh. 100% authentic Korean product. Dhaka 1-2 days delivery. COD available at Emart Skincare Bangladesh.",,"bad copy in post_excerpt"
updated,61600,dabo-all-in-one-black-snail-repair-essence-toner-cream-combo,"Dabo All in One Black Snail Repair Essence Toner & Cream Combo",post_content,,"For the humid and polluted environment of Bangladesh, taking care of your skin is essential, and that’s exactly why the Dabo All in One Black Snail Repair Essence Toner &amp; ...","For the humid and polluted environment of Bangladesh, taking care of your skin is essential, and that’s exactly why the Dabo All in One Black Snail Repair Essence Toner &amp; ...",,"bad copy in post_content"
updated,61600,dabo-all-in-one-black-snail-repair-essence-toner-cream-combo,"Dabo All in One Black Snail Repair Essence Toner & Cream Combo",post_excerpt,,"Buy Dabo All in One Black Snail Repair Essence Toner &amp; Cream Combo in Bangladesh. 100% authentic Korea import. Dhaka 1-2 days delivery. COD available at Emart Skincare Bangl...","Buy Dabo All in One Black Snail Repair Essence Toner &amp; Cream Combo in Bangladesh. 100% authentic Korean product. Dhaka 1-2 days delivery. COD available at Emart Skincare Ban...",,"bad copy in post_excerpt"
updated,61632,mini-combo-dabo-black-snail-cream-cosrx-advanced-snail-96-essence,"Mini Combo Dabo Black Snail Cream & Cosrx Advanced Snail 96 Essence",post_excerpt,,"Buy Mini Combo – Dabo Black Snail Cream &amp; Cosrx Advanced Snail 96 Essence in Bangladesh. 100% authentic Korea import. Dhaka 1-2 days delivery. COD available at Emart Skinc...","Buy Mini Combo – Dabo Black Snail Cream &amp; Cosrx Advanced Snail 96 Essence in Bangladesh. 100% authentic Korean product. Dhaka 1-2 days delivery. COD available at Emart Ski...",,"bad copy in post_excerpt"
updated,74044,combo-axis-y-dark-spot-correcting-glow-cream-50ml-axis-y-dark-spot-correcting-glow-serum-50ml-axis-y-dark-spot-correcting-glow-toner-125ml,"Axis-Y Dark Spot Correcting Glow Cream 50ml + AXIS-Y Dark Spot Correcting Glow Serum 50ml Combo",post_excerpt,,"Buy Combo (Axis-Y Dark Spot Correcting Glow Cream 50ml + AXIS-Y Dark Spot Correcting Glow Serum 50ml in Bangladesh. 100% authentic Korea import. Dhaka 1-2 days delivery. COD ava...","Buy Combo (Axis-Y Dark Spot Correcting Glow Cream 50ml + AXIS-Y Dark Spot Correcting Glow Serum 50ml in Bangladesh. 100% authentic Korean product. Dhaka 1-2 days delivery. COD a...",,"bad copy in post_excerpt"
updated,74300,combo-dabo-all-in-one-snail-96-mucin-essence-100ml-dabo-all-in-one-black-snail-repair-cream-50ml,"combo (Dabo All In One Snail 96 Mucin Essence 100ml + Dabo All In One Black Snail Repair Cream 50ml)",post_excerpt,,"Buy combo (Dabo All In One Snail 96 Mucin Essence 100ml + Dabo All In One Black Snail Repair Cream 50ml) in Bangladesh. 100% authentic Korea import. Dhaka 1-2 days delivery. COD...","Buy combo (Dabo All In One Snail 96 Mucin Essence 100ml + Dabo All In One Black Snail Repair Cream 50ml) in Bangladesh. 100% authentic Korean product. Dhaka 1-2 days delivery. C...",,"bad copy in post_excerpt"
updated,74304,body-care-combo-1-skino-lavender-soothing-shower-gel-220ml-skino-soft-care-hydrating-body-lotion-200ml,"BODY CARE COMBO-1 (Skino Lavender Soothing Shower Gel 220ml + skinO Soft Care Hydrating Body Lotion 200ml )",post_excerpt,,"Buy BODY CARE COMBO-1 (Skino Lavender Soothing Shower Gel 220ml + skinO Soft Care Hydrating Body Lotion 200ml ) in Bangladesh. 100% authentic Korea import. Dhaka 1-2 days delive...","Buy BODY CARE COMBO-1 (Skino Lavender Soothing Shower Gel 220ml + skinO Soft Care Hydrating Body Lotion 200ml ) in Bangladesh. 100% authentic Korean product. Dhaka 1-2 days deli...",,"bad copy in post_excerpt"
updated,74308,skincare-combo-01-skin1004-madagascar-centella-tone-brightening-capsule-ampoule-30ml-dot-key-72-hr-hydrating-gel-moisturizer-probiotics-15ml-mary-may-tranexamic-glutathione-eye-cream-12g,"SKINCARE COMBO-01 (SKIN1004 Madagascar Centella Tone Brightening Capsule Ampoule 30ml + Dot & Key 72 HR Hydrating Gel Moisturizer + Probiotics 15ml +  Mary & May Tranexamic + Glutathione Eye Cream 12g",post_excerpt,,"Buy SKINCARE COMBO-01 (SKIN1004 Madagascar Centella Tone Brightening Capsule Ampoule 30ml + Dot &amp; Key 72 HR Hydrating Gel Moisturizer + Probiotics 15ml + Mary &amp; May Tran...","Buy SKINCARE COMBO-01 (SKIN1004 Madagascar Centella Tone Brightening Capsule Ampoule 30ml + Dot &amp; Key 72 HR Hydrating Gel Moisturizer + Probiotics 15ml + Mary &amp; May Tran...",India,"bad copy in post_excerpt"
updated,75839,beaute-glutathione-skin1004-centella-brightening-combo-2pcs,"Beaute Glutathione & Skin1004 Centella Skin Brighteing Combo 2Pcs",post_excerpt,,"Buy Beaute Glutathione &amp; Skin1004 Centella Skin Brighteing Combo 2Pcs in Bangladesh. 100% authentic Korea import. Dhaka 1-2 days delivery. COD available at Emart Skincare Ba...","Buy Beaute Glutathione &amp; Skin1004 Centella Skin Brighteing Combo 2Pcs in Bangladesh. 100% authentic Korean product. Dhaka 1-2 days delivery. COD available at Emart Skincare ...",,"bad copy in post_excerpt"
updated,93014,tiam-pore-minimizing-21-serum-and-cream-combo,"Tiam Pore Minimizing 21 Serum and Cream Combo",post_excerpt,,"Buy Tiam Pore Minimizing 21 Serum and Cream Combo in Bangladesh from Emart. 100% authentic Korea import minimizes pores and improves skin texture with fast Dhaka delivery and Ca...","Buy Tiam Pore Minimizing 21 Serum and Cream Combo in Bangladesh from Emart. 100% authentic Korean product minimizes pores and improves skin texture with fast Dhaka delivery and ...",,"bad copy in post_excerpt"
