severity,post_id,slug,title,brand,origin,title_type,meta_type,meta_len,h3_count,has_disclaimer,issues,meta
MED,36528,neutrogena-clear-defend-facial-wash-200ml,Neutrogena Clear & Defend Facial Wash 200ml,Neutrogena,USA,foam_cleanser,foam_cleanser,135,6,yes,"MED:strong_acne_clearing_wording:Key Benefits Acne & Blemish Control — Salicylic Acid penetrates pores to clear acne-causing bacteria and excess oil Foam Texture — Gently cleanses without over-drying, leaving skin","Neutrogena salicylic acid foam cleanser for acne-prone, oily skin — clears blemishes. Buy original at Emart Bangladesh — COD available."
MED,37375,the-body-shop-tea-tree-skin-clearing-facial-wash-250ml,The Body Shop Tea Tree Skin Clearing Facial Wash 250ml,The Body Shop,UK,foam_cleanser,foam_cleanser,157,7,yes,MED:h3_count_not_6:7,The Body Shop Tea Tree Facial Wash clears excess oil and blemishes with tea tree oil for acne-prone skin. Authentic UK import — price in Bangladesh at Emart.
MED,43859,axis-y-quinoa-one-step-balanced-gel-cleanser-180ml,Axis-Y Quinoa One Step Balanced Gel Cleanser 180ml,AXIS-Y,South Korea,gel_cleanser,gel_cleanser,159,6,yes,MED:meta_length_outside_130_158:159,"Axis-Y Quinoa One Step Balanced Gel Cleanser gently removes impurities without stripping. Gel cleanser price in Bangladesh at Emart, authentic Korean skincare."
MED,60805,acne-combo-cosrx-salicylic-acid-cleanser-50ml-axis-y-dark-spot-serum-5ml,Acne Combo: Cosrx Salicylic Acid Cleanser 50ml + AXIS-Y Dark Spot Serum 5ml,CosRx,South Korea,generic_cleanser,foam_cleanser,142,6,yes,"MED:strong_acne_clearing_wording:Formulated with Salicylic Acid, Niacinamide, and Adeno Ginseng Extract, this gentle foam cleanser helps clear blemishes and brighten hyperpigmentation without stripping the skin.","CosRx foam cleanser for acne-prone, oily skin with Salicylic Acid and Niacinamide. Low pH formula — buy at Emart Bangladesh with COD delivery."
MED,74080,innsaei-salicylic-acid-acne-solution-cleansing-foam-150ml,Innsaei Salicylic Acid Acne Solution Cleansing Foam 150ml,Innsaei Salicylic Acid,Bangladesh,foam_cleanser,foam_cleanser,143,6,yes,MED:strong_acne_clearing_wording:Key Ingredients Salicylic Acid — beta-hydroxy acid that exfoliates inside pores to clear blackheads and whiteheads Tea Tree Extract — natural antiseptic that reduces acne-causing b,"Innsaei Salicylic Acid foam cleanser for acne-prone, oily skin — BHA exfoliant with tea tree. Buy original at Emart Bangladesh — COD available."
MED,74245,retina-oroclin-anti-acne-facewash-100ml,Retina Oroclin Anti Acne Facewash 100ml,Retina Oroclin Anti,USA,,,138,6,yes,MED:strong_acne_clearing_wording:Key Benefits Fights Acne — Salicylic Acid penetrates pores to dissolve excess sebum and clear blemishes Reduces Wrinkles — stimulates cell turnover to smooth fine lines over time C,"Retina Oroclin anti-acne facewash with 0.5% Salicylic Acid for oily, acne-prone skin. Buy at Emart Bangladesh — authentic USA import, COD."
MED,75191,skin-cafe-soothing-aloe-vera-facewash-with-salicylic-acid-140ml,Skin Cafe Soothing Aloe Vera Facewash with Salicylic Acid 140ml,SKIN Caf�,Bangladesh,,foam_cleanser,131,6,yes,MED:strong_acne_clearing_wording:Key Ingredients Salicylic Acid — exfoliates inside pores to clear acne Aloe Vera — hydrates and soothes inflamed skin Green Tea Extract — antioxidant that reduces excess oil ,"Skin Cafe Aloe Vera face wash for oily, acne-prone skin with Salicylic Acid — unclogs pores. Buy original at Emart Bangladesh, COD."
MED,75377,the-derma-co-2-sali-cinamide-anti-acne-face-wash-80ml,The Derma Co 2% Sali Cinamide Anti Acne Face Wash 80ml,The Derma Co,India,foam_cleanser,foam_cleanser,157,6,yes,MED:strong_acne_clearing_wording:Key Benefits Salicylic Acid — penetrates pores to exfoliate and clear acne-causing debris Niacinamide — helps reduce blemish marks and supports skin barrier function ,"The Derma Co foam cleanser for oily, acne-prone skin with 2% Salicylic Acid & Niacinamide. 2% Salicylic + Niacinamide formula — buy at Emart Bangladesh, COD."
MED,93160,cosrx-salicylic-acid-daily-gentle-cleanser-150ml,COSRX Salicylic Acid Daily Gentle Cleanser 150ml,CosRx,South Korea,generic_cleanser,generic_cleanser,154,7,yes,MED:h3_count_not_6:7,COSRX Salicylic Acid Daily Cleanser targets oily pores with BHA for acne-prone skin in humid weather. Dermatologist-tested — price in Bangladesh at Emart.
LOW,93110,cerave-hydrating-cleanser-20ml,CeraVe Hydrating Cleanser 20ml,,USA,generic_cleanser,generic_cleanser,143,6,yes,LOW:missing_focus_keyword:,"CeraVe hydrating cleanser for dry, sensitive skin with ceramides and hyaluronic acid. Fragrance-free USA import — buy at Emart Bangladesh, COD."
LOW,93117,cerave-hydrating-cream-to-foam-cleanser-for-normal-to-dry-skin-237ml,CeraVe Hydrating Cream To Foam Cleanser For Normal To Dry Skin 237ml,,USA,foam_cleanser,foam_cleanser,146,6,yes,LOW:missing_focus_keyword:,"CeraVe cream-to-foam cleanser for dry, sensitive skin with ceramides and hyaluronic acid. Ceramide-rich USA import — buy at Emart Bangladesh, COD."
LOW,93120,cerave-hydrating-foaming-oil-cleanser-236ml,CeraVe Hydrating Foaming Oil Cleanser 236ml,,USA,foam_cleanser|oil_cleanser,cleansing_bar|foam_cleanser|oil_cleanser,147,6,yes,LOW:missing_focus_keyword:,"CeraVe oil-to-foam cleanser with Ceramides for dry, sensitive skin — hydrating barrier repair. Authentic USA import — buy at Emart Bangladesh, COD."
OK,2617,some-by-mi-snail-truecica-miracle-repair-low-ph-gel-cleanser-100ml,SOME BY MI Snail Truecica Miracle Repair Low pH Gel Cleanser 100ml,Some By Mi,South Korea,gel_cleanser,gel_cleanser,153,6,yes,,"Some By Mi gel cleanser with Truecica and snail filtrate for acne-prone, sensitive skin — South Korean import. Buy at Emart Bangladesh with COD delivery."
OK,2782,innisfree-green-tea-amino-hydrating-cleansing-foam-150ml,Innisfree Green Tea Amino Hydrating Cleansing Foam 150ml,Innisfree,South Korea,foam_cleanser,foam_cleanser,150,6,yes,,"Innisfree green tea amino foam for dry, dehydrated skin with Jeju green tea — hydrating and gentle. Low pH 5.5 formula — buy at Emart Bangladesh, COD."
OK,2808,innisfree-jeju-volcanic-pore-cleansing-foam-ex,Innisfree Jeju Volcanic Pore Cleansing Foam EX,Innisfree,South Korea,foam_cleanser,foam_cleanser,156,6,yes,,"Innisfree Jeju Volcanic foam cleanser for oily, combination skin — Jeju volcanic clusters absorb excess sebum. South Korean import at Emart Bangladesh, COD."
OK,3187,tiam-low-ph-cleanser-200ml,TIAM Low pH Cleanser 200ml,TIAM,South Korea,generic_cleanser,foam_cleanser,137,6,yes,,TIAM Low pH Cleanser for sensitive skin with Azulen and Snail Mucin — soothing Korean foam wash. Buy at Emart Bangladesh — COD available.
OK,3274,by-wishtrend-acid-duo-2-mild-gel-cleanser-150ml,BY WISHTREND Acid-duo 2% Mild Gel Cleanser 150ml,By Wishtrend,South Korea,gel_cleanser,,145,6,yes,,"By Wishtrend Acid-duo gel for sensitive, combination skin with LHA (1%) + PHA (1%). Authentic South Korean import — buy at Emart Bangladesh, COD."
OK,3509,3w-clinic-pure-natural-brown-rice-cleansing-foam-100ml,3W CLINIC Pure Natural Brown Rice Cleansing Foam 100ml,3W Clinic,South Korea,foam_cleanser,foam_cleanser,149,6,yes,,3W CLINIC Brown Rice Foam purifies and brightens with rice extract for Dhaka's humid climate. Authentic Korean import — price in Bangladesh at Emart.
OK,3603,the-faceshop-rice-water-bright-cleansing-cream200ml,THE FACESHOP Rice water bright Cleansing Cream(200ml),the faceshop,South Korea,,generic_cleanser,141,6,yes,,"THE FACESHOP brightening cream cleanser — Rice Extract for dry, sensitive skin. Authentic South Korean import — buy at Emart Bangladesh, COD."
OK,3704,3w-clinic-cleansing-foam-rose-water-100ml,3W Clinic Cleansing foam Rose water 100ml,3W Clinic,South Korea,foam_cleanser,foam_cleanser,144,6,yes,,3W Clinic Rose Water Cleansing Foam gently removes impurities while hydrating dry skin. Authentic Korean formula — price in Bangladesh at Emart.
OK,3961,neogen-real-cica-micellar-cleansing-foam,NEOGEN Real Cica Micellar Cleansing Foam,NEOGEN,South Korea,foam_cleanser|micellar,foam_cleanser|micellar,158,6,yes,,"NEOGEN micellar foam for acne-prone, sensitive skin with Centella Asiatica — soothes irritation. Authentic South Korean import — buy at Emart Bangladesh, COD."
OK,4037,skinfood-rice-daily-brightening-cleansing-foam,SKINFOOD-Rice Daily Brightening Cleansing Foam,skinfood,South Korea,foam_cleanser,foam_cleanser,152,6,yes,,"SKINFOOD Rice Brightening Foam for dull, hyperpigmented skin with rice bran extract — brighten. Authentic South Korean import at Emart Bangladesh — COD."
OK,4379,benton-deep-green-tea-cleansing-foam-120g,Benton Deep Green Tea Cleansing Foam 120g,benton,South Korea,foam_cleanser,foam_cleanser,155,6,yes,,"Benton foam cleanser for dry, dehydrated skin with Boseoung Green Tea — hydrates without stripping. Authentic South Korean import at Emart Bangladesh, COD."
OK,26156,cerave-hydrating-cream-to-foam-cleanser-236-ml,CERAVE Hydrating Cream-to-Foam Cleanser 236 ml,Cerave,USA,foam_cleanser,foam_cleanser,146,6,yes,,"CeraVe cream-to-foam cleanser for dry, sensitive skin with Hyaluronic Acid and Ceramides. USA dermatologist-tested — buy at Emart Bangladesh, COD."
OK,26353,simple-kind-to-skin-moisturising-facial-wash-150ml,Simple Kind To Skin Moisturising Facial Wash 150ml,Simple,UK,foam_cleanser,foam_cleanser,149,6,yes,,"Simple moisturising facial wash for dry, sensitive skin with glycerin and vitamin B5 — hydrating. Authentic UK import — buy at Emart Bangladesh, COD."
OK,26368,simple-daily-detox-purifying-face-wash-150ml,Simple Daily Detox Purifying Face Wash 150ml,Simple,UK,foam_cleanser,foam_cleanser,141,6,yes,,Simple Daily Detox Purifying Face Wash with Zinc PCA clears pollution and excess oil. Fragrance-free UK formula price in Bangladesh at Emart.
OK,26371,simple-regeneration-facial-wash-age-resisting-150ml,Simple Regeneration Facial Wash Age Resisting 150ml,Simple,UK,foam_cleanser,foam_cleanser,137,6,yes,,"Simple Regeneration Facial Wash for mature, dry skin — soap-free foam with Panthenol. Authentic UK import — buy at Emart Bangladesh, COD."
OK,26867,some-by-mi-super-matcha-pore-clean-cleansing-gel-100ml,Some By Mi Super Matcha Pore Clean Cleansing Gel 100ml,Some By Mi,South Korea,,gel_cleanser,152,6,yes,,"Some By Mi gel cleanser for oily, combination skin with 62% Matcha Water — tightens pores. Authentic South Korean import — buy at Emart Bangladesh, COD."
OK,26938,thank-you-farmer-rice-pure-clay-mask-to-foam-cleanser-150ml,THANK YOU FARMER Rice Pure Clay Mask To Foam Cleanser 150ml,THANK YOU FARMER,South Korea,foam_cleanser,clay_cleanser|foam_cleanser,145,6,yes,,"THANK YOU FARMER clay cleanser for oily, acne-prone skin with rice — 2-in-1 mask to foam. Authentic South Korean import at Emart Bangladesh, COD."
OK,26973,farm-stay-cica-farm-nature-solution-cleansing-foam-180ml,FARMSTAY Cica Farm Nature Solution Cleansing Foam 180ml,Farmstay,South Korea,foam_cleanser,foam_cleanser,153,6,yes,,"FARMSTAY Cica foam cleanser with Centella Asiatica for acne-prone, sensitive skin. Buy original at Emart Bangladesh — COD available, price in Bangladesh."
OK,27055,the-face-shop-herbday-365-cleansing-foam-aloe-green-tea-170ml,The Face Shop Herbday 365 Cleansing Foam Aloe & Green Tea 170ml,The Face Shop,South Korea,foam_cleanser,foam_cleanser,152,6,yes,,"The Face Shop Herbday Aloe & Green Tea Foam for acne-prone skin — dual botanical extracts. Authentic South Korean import — buy at Emart Bangladesh, COD."
OK,35456,boots-essentials-cucumber-facial-wash-150ml,Boots Everyday Cucumber Face Wash 150ml,Boots,UK,foam_cleanser,foam_cleanser,143,6,yes,,"Boots Cucumber Face Wash for normal, combination skin with vitamins — gentle daily cleanse. Authentic UK import — buy at Emart Bangladesh, COD."
OK,35952,biore-daily-detox-cleanser-face-wash-200ml,Biore Daily Detox Cleanser Face Wash 200ml,Biore,Japan,foam_cleanser,foam_cleanser,157,6,yes,,"Biore foam cleanser with Organic Cannabis Sativa Seed Oil & Green Tea Extract for normal to oily skin. Authentic Japan import — buy at Emart Bangladesh, COD."
OK,36186,clean-clear-exfoliating-oil-free-face-wash-150ml,Clean & Clear Exfoliating Oil Free Face Wash 150ml,Clean &amp; Clear,UK,foam_cleanser,foam_cleanser,150,6,yes,,"Clean & Clear exfoliating oil-free face wash for oily, acne-prone skin with micro-beads — UK import. Buy original at Emart Bangladesh — COD available."
OK,36207,bioderma-sebium-gel-moussant-cleansing-foaming-gel-200ml,Bioderma Sebium Gel Moussant Cleansing Foaming Gel 200ml,Bioderma,France,foam_cleanser,foam_cleanser,143,6,yes,,"Bioderma foaming gel for oily, acne-prone skin with Zinc PCA — purifies without drying. Authentic French import — buy at Emart Bangladesh, COD."
OK,36329,simple-moisturising-foaming-facial-wash-150ml,Simple Moisturising Foaming Facial Wash 150ml,Simple,UK,foam_cleanser,foam_cleanser,141,6,yes,,"Simple foam cleanser for dry, sensitive skin with Pro-Vitamin B5 — gentle hydration. Fragrance-free UK import — buy at Emart Bangladesh, COD."
OK,36571,neutrogena-oil-balancing-facial-wash-200ml,Neutrogena Oil Balancing Facial Wash 200ml,Neutrogena,USA,foam_cleanser,generic_cleanser,156,6,yes,,"Neutrogena oil balancing cleanser for oily, combination skin with Aloe — controls excess oil. USA-origin oil-control formula — buy at Emart Bangladesh, COD."
OK,37091,xpel-tea-tree-foaming-face-wash-200ml,Xpel Tea Tree Foaming Face Wash 200ml,Xpel,UK,foam_cleanser,foam_cleanser,140,6,yes,,"Xpel foaming face wash for oily, acne-prone skin with Tea Tree Oil — antibacterial. Fragrance-free UK import — buy at Emart Bangladesh, COD."
OK,37335,garnier-skin-active-micellar-cleansing-gel-wash-200ml,Garnier Skin Active Micellar Cleansing Gel Wash 200ml,Garnier,France,micellar,gel_cleanser|micellar,154,6,yes,,"Garnier micellar gel cleanser for sensitive, dry skin with Micellar Technology — gentle cleansing. Authentic France import — buy at Emart Bangladesh, COD."
OK,37356,the-body-shop-vitamin-e-gentle-facial-wash-125ml,The Body Shop Vitamin E Gentle Facial Wash 125ml,The Body Shop,UK,foam_cleanser,foam_cleanser,156,6,yes,,"The Body Shop Vitamin E Gentle Facial Wash for dry, sensitive skin with Vitamin E antioxidant. Authentic UK import — buy at Emart Bangladesh, COD available."
OK,37366,the-body-shop-seaweed-deep-cleansing-gel-wash-125ml,The Body Shop Seaweed Deep Cleansing Gel Wash 125ml,The Body Shop,UK,,,152,6,yes,,"The Body Shop seaweed gel wash for combination, sensitive skin — deep cleans without stripping. Fragrance-free UK import — buy at Emart Bangladesh, COD."
OK,43883,axis-y-sunday-morning-refreshing-cleansing-foam-120ml,Axis-Y Sunday Morning Refreshing Cleansing Foam 120ml,AXIS-Y,South Korea,foam_cleanser,foam_cleanser,134,6,yes,,"AXIS-Y low pH foam cleanser for oily, acne-prone skin — non-stripping formula. Authentic South Korean import at Emart Bangladesh, COD."
OK,50616,innisfree-volcanic-pore-bha-cleansing-foam-150m,Innisfree Volcanic Pore BHA Cleansing Foam 150m,Innisfree,South Korea,foam_cleanser,foam_cleanser,155,6,yes,,Innisfree Volcanic Pore BHA Cleansing Foam removes sebum and pollution with Jeju clusters and natural BHA. Oil-control foam — price in Bangladesh at Emart.
OK,51070,dabo-black-force-foam-cleanser-men-120ml,Dabo Black Force Foam Cleanser Men 120ml,Dabo,South Korea,foam_cleanser,foam_cleanser,157,6,yes,,"Dabo Black Force Foam for oily, acne-prone skin with Charcoal and Tea Tree — deep pore cleanse. Authentic South Korean import — buy at Emart Bangladesh, COD."
OK,51254,rovectin-skin-essentials-conditioning-cleanser175-ml,Rovectin Aqua Cleansing Gel (Skin Essentials Conditioning Cleanser) 175ml,Rovectin,South Korea,generic_cleanser,generic_cleanser,145,6,yes,,Rovectin Aqua Cleansing Gel conditions sensitive skin while removing impurities — no stripping. Gel-type cleanser — price in Bangladesh at Emart.
OK,52474,cosrx-ac-collection-calming-foam-cleanser-50ml,Cosrx AC Collection Calming Foam Cleanser 50mL,CosRx,South Korea,foam_cleanser,foam_cleanser,146,6,yes,,COSRX AC Calming Foam Cleanser removes impurities without stripping using 0.5% Salicylic Acid. South Korean origin — price in Bangladesh at Emart.
OK,56319,haruharu-wonder-black-rice-moisture-deep-cleansing-oil-150ml,HaruHaru Wonder Black Rice Moisture 5.5 Soft Cleansing Gel 100ml,Haruharu Wonder,South Korea,,gel_cleanser,151,6,yes,,"Haruharu Wonder Black Rice gel cleanser for dry, sensitive skin with fermented Black Rice for gentle cleansing. Buy original at Emart Bangladesh — COD."
OK,56469,cosrx-low-ph-niacinamide-micellar-cleansing-water-400ml,Cosrx Low Ph Niacinamide Micellar Cleansing Water 400ml,CosRx,South Korea,micellar,micellar,148,6,yes,,COSRX Low pH Niacinamide Micellar Water gently removes impurities and brightens skin. Authentic Korean cleansing water price in Bangladesh at Emart.
OK,57655,cosrx-advanced-snail-mucin-gel-cleanser-50ml,CosRx Advanced Snail Mucin Gel Cleanser 50ml,CosRx,South Korea,gel_cleanser,gel_cleanser,148,6,yes,,"CosRx gel cleanser with snail mucin — gentle hydration for sensitive, acne-prone skin. Authentic South Korean import — buy at Emart Bangladesh, COD."
OK,58144,skin1004-madagascar-centella-tone-brightening-cleansing-gel-foam-125ml,SKIN1004 Madagascar Centella Tone Brightening Cleansing Gel Foam 125ml,Skin1004,South Korea,foam_cleanser,gel_cleanser,146,6,yes,,"SKIN1004 Centella gel cleanser brightens and calms acne-prone, sensitive skin with Madagascar Centella. Authentic import at Emart Bangladesh, COD."
OK,58148,skin1004-madagascar-centella-tea-trica-bha-foam-cleanser-125ml,SKIN1004 Madagascar Centella Tea-Trica Bha Foam Cleanser 125ml,Skin1004,South Korea,foam_cleanser,foam_cleanser,147,6,yes,,"SKIN1004 Centella Tea-Trica BHA Foam Cleanser for acne-prone, sensitive skin — BHA exfoliation. South Korean import — buy at Emart Bangladesh, COD."
OK,58195,cosrx-low-ph-good-morning-gel-cleanser-50ml,COSRX Low pH Good Morning Gel Cleanser 50ml,CosRx,South Korea,gel_cleanser,cleansing_bar|gel_cleanser,150,6,yes,,"COSRX low pH gel cleanser for sensitive skin with mildly acidic pH 5 — barrier-friendly. Authentic South Korean import — buy at Emart Bangladesh, COD."
OK,59347,the-face-shop-jeju-aloe-fresh-soothing-foam-cleanser-150ml,The Face Shop Jeju Aloe Fresh Soothing Foam Cleanser 150ml,The Face Shop,South Korea,foam_cleanser,foam_cleanser,152,6,yes,,"The Face Shop aloe foam cleanser with Jeju aloe vera — soothes dry skin in humid climates. Authentic South Korean import — buy at Emart Bangladesh, COD."
OK,59351,welcos-aloe-vera-moisture-real-foam-cleanser-150g,Welcos Aloe Vera Moisture Real Foam Cleanser 150g,welcos,South Korea,foam_cleanser,foam_cleanser,156,6,yes,,"Welcos Aloe Vera foam cleanser for dry skin with aloe vera — hydrating and soothing. Authentic South Korean import — buy at Emart Bangladesh, COD available."
OK,59385,iunik-centella-bubble-cleansing-foam-150ml,Iunik Centella Bubble Cleansing Foam 150ml,iUNIK,South Korea,foam_cleanser,foam_cleanser,154,6,yes,,"iUNIK Centella foam cleanser for acne-prone, sensitive skin with Centella Asiatica — soothing. Authentic South Korean import at Emart Bangladesh with COD."
OK,59484,ksecret-seoul-1988-cleansing-foam-pine-cica-1-probiotics-150-ml,KSECRET SEOUL 1988 Cleansing Foam : Pine Cica 1% + Probiotics 150 ml,KSECRET,South Korea,foam_cleanser,foam_cleanser,155,6,yes,,"KSECRET Pine Cica foam cleanser for acne-prone, sensitive skin — probiotics soothe & balance. Authentic South Korean import — buy at Emart Bangladesh, COD."
OK,59488,innisfree-olive-vitamin-e-real-cleansing-foam-150g,Innisfree Olive Vitamin E Real Cleansing Foam 150g,Innisfree,South Korea,foam_cleanser,foam_cleanser,150,6,yes,,"Innisfree Olive & Vitamin E foam cleanser for dry, mature skin — anti-aging nourishment. Authentic South Korean import — buy at Emart Bangladesh, COD."
OK,59656,derma-factory-edlp-houttuynia-cordata-24-cleansing-foam-120g,DERMA FACTORY EDLP Houttuynia Cordata 24% Cleansing Foam 120g,DERMA FACTORY EDLP,South Korea,foam_cleanser,foam_cleanser,146,6,yes,,"DERMA FACTORY foam cleanser for acne-prone, oily skin with 24% heartleaf extract — Sulfate-free cleanser — shop at Emart Bangladesh, COD delivery."
OK,59857,b-lab-matcha-hydrating-foam-cleanser-120ml,B-LAB Matcha Hydrating Foam Cleanser 120ml,B-LAB Matcha,South Korea,foam_cleanser,foam_cleanser,153,6,yes,,"B-LAB Matcha Hydrating Foam Cleanser for dry, dehydrated skin — matcha-infused gentle foam. Authentic South Korean import — buy at Emart Bangladesh, COD."
OK,60138,dabo-natural-rich-foam-cleanser-green-tea-180-ml,Dabo Natural Rich Foam Cleanser Green Tea 180 ml,Dabo,South Korea,foam_cleanser,foam_cleanser,155,6,yes,,"Dabo foam cleanser for oily, acne-prone skin with Green Tea Extract — antioxidant protection. Authentic South Korean import — buy at Emart Bangladesh, COD."
OK,60160,dabo-natural-rich-foam-cleanser-collagen-20-ml,Dabo Natural Rich Foam Cleanser Collagen 20 ml,Dabo,South Korea,foam_cleanser,foam_cleanser,139,6,yes,,"Dabo collagen foam cleanser for mature, dry skin with anti-aging & wrinkle care — gentle South Korean beauty. Buy at Emart Bangladesh, COD."
OK,60184,dabo-7-in-1-multi-foam-cleanser-20-ml,Dabo 7 In 1 Multi Foam Cleanser 20 ml,Dabo,South Korea,foam_cleanser,foam_cleanser,156,6,yes,,"Dabo 7-in-1 foam cleanser for oily, sensitive skin with Centella Asiatica — travel size 20 ml. Authentic South Korean import — buy at Emart Bangladesh, COD."
OK,60190,dabo-all-in-one-black-snail-foam-cleanser-120-ml,Dabo All In One Black Snail Foam Cleanser 120 ml,Dabo,South Korea,foam_cleanser,foam_cleanser,147,6,yes,,"Dabo deep-cleansing foam with Black Snail Mucin, Charcoal for oily, combination skin — Dermatologist-friendly — authentic at Emart Bangladesh, COD."
OK,60192,dabo-natural-rich-foam-cleanser-collagen-180-ml,Dabo Natural Rich Foam Cleanser Collagen 180 ml,Dabo,South Korea,foam_cleanser,foam_cleanser,151,6,yes,,"Dabo collagen foam cleanser for mature, dry skin with hydrolysed collagen — anti-aging support. Authentic South Korean import at Emart Bangladesh, COD."
OK,60200,dabo-natural-rich-foam-cleanser-avocado-180-ml,Dabo Natural Rich Foam Cleanser Avocado 180 ml,Dabo,South Korea,foam_cleanser,foam_cleanser,140,6,yes,,"Dabo avocado foam cleanser for oily, acne-prone skin with tea tree extract — Fragrance-free formula — buy original at Emart Bangladesh, COD."
OK,60222,dabo-white-tree-saow-flake-pure-white-foam-cleanser-150-ml,Dabo White Tree Saow Flake Pure White Foam Cleanser 150 ml,Dabo,South Korea,foam_cleanser,foam_cleanser,150,6,yes,,"Dabo White Tree foam cleanser with brightening extract for hyperpigmentation and dull skin. White Tree Extract formula — buy at Emart Bangladesh, COD."
